group,formula,mass
MNXR96485_MNXM37,CH3O6P,141.9667
MNXR103755_MNXM117,C4H2N2O4,142.0015
MNXR96042_MNXM321,C7H18N3,144.1506
MNXR105309_MNXM32,C5H7NO4,145.0375
MNXR104491_MNXM21,C7H19N3,145.1579
MNXR96230_MNXM199,C5H6O5,146.0215
MNXR97678_MNXM309,C5H10N2O3,146.0691
MNXR105128_MNXM89557,C5H9NO2S,147.0354
MNXR105128_MNXM61,C5H9NO4,147.0521
MNXR96230_MNXM238,C5H9NO4,147.0532
MNXR105347_MNXM89557,C6H13NO3,147.0895
MNXR103521_MNXM771,C7H21N3,147.1735
MNXR110814_MNXM87,C2H3OCl3,147.9249
MNXR95923_MNXM89557,C5H8O3S,148.0194
MNXR104238_MNXM78,C5H8O5,148.0372
MNXR105128_MNXM276,C5H12N2O3,148.0848
MNXR104238_MNXM20,C6H16N2O2,148.1212
MNXR112822_MNXM316,C5H11NO2S,149.05
MNXR103709_MNXM26,C5H11NO2S,149.051
MNXR105347_MNXM89905,C5H11NO4,149.0688
MNXR101417_MNXM86,C4H6O6,150.0164
MNXR105128_MNXM37,C5H10O3S,150.0351
MNXR103346_MNXM789,C5H5N5O,151.0494
MNXR105229_MNXM22,C5H4N4O2,152.0334
MNXR100656_MNXM32,C7H7NO3,153.0426
MNXR108646_MNXM22,C7H9N2O2,153.0659
MNXR103573_MNXM75,C8H11NO2,153.079
MNXR105349_MNXM22,C7H6O4,154.0266
MNXR100450_MNXM412,C2H6NO5P,154.9984
MNXR95133_MNXM192,C6H9N3O2,155.0695
MNXR102231_MNXM91,C5H4N2O4,156.0171
MNXR110821_MNXM5770,HBr2,158.845
MNXR95160_MNXM89557,C6H8O5,160.0372
MNXR95160_MNXM20,C6H11NO4,161.0688
MNXR97909_MNXM42,C5H6O6,162.0164
MNXR104616_MNXM92,C7H16NO3,162.1125
MNXR97909_MNXM46,C5H9NO5,163.0481
MNXR112857_MNXM12406,C9H9NO2,163.0633
MNXR96231_MNXM41,C9H8O3,164.0473
MNXR101478_MNXM22,C5H11NO3S,165.046
MNXR100357_MNXM29,C9H11NO2,165.079
MNXR103579_MNXM75,C9H13NO2,167.0946
MNXR95161_MNXM89557,C3H4O6S,167.9729
MNXR102391_MNXM60,C3H5O6P,167.9824
MNXR103755_MNXM22,C5H4N4O3,168.0283
MNXR95161_MNXM20,C3H7NO5S,169.0045
MNXR95678_MNXM156,C3H8NO5P,169.014
MNXR104715_MNXM271,C3H7O6P,169.998
MNXR100411_MNXM218,C3H9O6P,172.0137
MNXR100281_MNXM79,C6H10N2O4,174.0641
MNXR95948_MNXM93,C6H14N4O2,174.1117
MNXR100282_MNXM79,C6H9NO5,175.0481
MNXR105140_MNXM410,C4O8,175.9593
MNXR104952_MNXM22,C10H12N2O,176.095
MNXR101911_MNXM355,H3O7P2,176.9359
MNXR101897_MNXM309,H5NO6P2,176.9592
MNXR112851_MNXM4356,C6H9O6,177.0394
MNXR102049_MNXM546,H4O7P2,177.9432
MNXR100452_MNXM59390,C5H10N2O3S,178.0412
MNXR94907_MNXM22,C9H10N2O2,178.0742
MNXR105330_MNXM423,C6H13NO5,179.0794
MNXR105000_MNXM89557,C9H8O4,180.0423
MNXR105080_MNXM89795,C6H12O6,180.0634
MNXR108236_MNXM945,C9H10NO3,180.0666
MNXR105000_MNXM20,C9H11NO3,181.0739
MNXR104317_MNXM53,C4H9NO2Se,182.9798
MNXR94931_MNXM22,C9H13NO3,183.0895
MNXR103225_MNXM89557,C3H5O7P,183.9773
MNXR107601_MNXM89612,C5H15NO4P,184.0733
MNXR103225_MNXM20,C3H8NO6P,185.0089
MNXR104315_MNXM159,C3H10N2O2Se,185.9907
MNXR107111_MNXM1723,C3H7O7P,185.9929
